run,makespan,throughput,mean_flow
0,294.0,0.20408163265306123,131.75
1,294.0,0.20408163265306123,131.75
2,294.0,0.20408163265306123,131.75
3,294.0,0.20408163265306123,131.75
4,294.0,0.20408163265306123,131.75
5,294.0,0.20408163265306123,131.75
6,294.0,0.20408163265306123,131.75
7,294.0,0.20408163265306123,131.75
8,294.0,0.20408163265306123,131.75
9,294.0,0.20408163265306123,131.75
10,294.0,0.20408163265306123,131.75
11,294.0,0.20408163265306123,131.75
12,294.0,0.20408163265306123,131.75
13,294.0,0.20408163265306123,131.75
14,294.0,0.20408163265306123,131.75
15,294.0,0.20408163265306123,131.75
16,294.0,0.20408163265306123,131.75
17,294.0,0.20408163265306123,131.75
18,294.0,0.20408163265306123,131.75
19,294.0,0.20408163265306123,131.75
20,294.0,0.20408163265306123,131.75
21,294.0,0.20408163265306123,131.75
22,294.0,0.20408163265306123,131.75
23,294.0,0.20408163265306123,131.75
24,294.0,0.20408163265306123,131.75
25,294.0,0.20408163265306123,131.75
26,294.0,0.20408163265306123,131.75
27,294.0,0.20408163265306123,131.75
28,294.0,0.20408163265306123,131.75
29,294.0,0.20408163265306123,131.75
30,294.0,0.20408163265306123,131.75
31,294.0,0.20408163265306123,131.75
32,294.0,0.20408163265306123,131.75
33,294.0,0.20408163265306123,131.75
34,294.0,0.20408163265306123,131.75
35,294.0,0.20408163265306123,131.75
36,294.0,0.20408163265306123,131.75
37,294.0,0.20408163265306123,131.75
38,294.0,0.20408163265306123,131.75
39,294.0,0.20408163265306123,131.75
40,294.0,0.20408163265306123,131.75
41,294.0,0.20408163265306123,131.75
42,294.0,0.20408163265306123,131.75
43,294.0,0.20408163265306123,131.75
44,294.0,0.20408163265306123,131.75
45,294.0,0.20408163265306123,131.75
46,294.0,0.20408163265306123,131.75
47,294.0,0.20408163265306123,131.75
48,294.0,0.20408163265306123,131.75
49,294.0,0.20408163265306123,131.75
