process,name,queue_mean_mean,queue_mean_ci_low,queue_mean_ci_high,sync_mean_mean,sync_mean_ci_low,sync_mean_ci_high,utilization_mean,utilization_ci_low,utilization_ci_high,delta_mean,delta_ci_low,delta_ci_high,gain_percent_mean,gain_percent_ci_low,gain_percent_ci_high
N06,Process 06,42.17479214270176,41.341214020536974,43.00837026486655,0.0,0.0,0.0,0.918717567102031,0.9176570565604567,0.9197780776436053,26.828815384971417,26.668028776667523,26.98960199327531,9.107801119232619,9.077786909154444,9.137815329310794
N12,Process 12,0.07272130614996354,0.06161178353383113,0.08383082876609596,0.0,0.0,0.0,0.6123896402123604,0.6078378484990535,0.6169414319256673,0.32475257607281266,0.29159839946373894,0.3579067526818864,0.11023853702858219,0.09903578589964462,0.12144128815751976
N11,Process 11,0.06272421704522152,0.05517631929561119,0.07027211479483185,0.0,0.0,0.0,0.6107002191358106,0.606627861724122,0.6147725765474993,0.319170805514575,0.29935427196559905,0.33898733906355094,0.10828960276770565,0.10174799036111672,0.11483121517429458
N09,Process 09,0.04718159931459948,0.039957242122736644,0.05440595650646232,39.86344351808388,39.01264306288821,40.71424397327956,0.6102159393943072,0.6059710735955948,0.6144608051930196,0.31220148582610024,0.29370141328418725,0.33070155836801324,0.10601498660586273,0.0996973787285602,0.11233259448316525
N01,Process 01,58.72764743547864,58.11005218544565,59.34524268551162,0.0,0.0,0.0,0.6096229565239519,0.6050568355615368,0.6141890774863671,0.311960983777293,0.2893945399807137,0.33452742757387227,0.10587873023472316,0.09834181783195359,0.11341564263749274
N08,Process 08,0.02843333626773392,0.02226801683403331,0.03459865570143453,0.0,0.0,0.0,0.6118372167527495,0.6077041707566471,0.6159702627488519,0.3084342771119952,0.2895754801149281,0.32729307410906233,0.10465239511213968,0.09840461607289246,0.11090017415138691
N10,Process 10,0.05770964561399333,0.04935986675090003,0.06605942447708663,0.0,0.0,0.0,0.6099297097623165,0.6053485623812247,0.6145108571434084,0.3081115160389663,0.29023743026684057,0.32598560181109204,0.10466421786568667,0.09848533720635486,0.11084309852501847
N02,Process 02,2.463506722145553,1.9724359576363453,2.9545774866547605,0.0,0.0,0.0,0.6122043591136374,0.608340011530201,0.6160687066970737,0.30696012555223207,0.29188636310559,0.3220338879988741,0.10427287277155106,0.09907634097323648,0.10946940456986565
N07,Process 07,0.0054573132718580665,0.0034987860325471497,0.007415840511168984,0.0,0.0,0.0,0.6101400015651113,0.6054623983719754,0.6148176047582472,0.30664075934888274,0.29388980264664855,0.31939171605111694,0.10408399700228568,0.09980528022557944,0.10836271377899193
N03,Process 03,1.523598377155087,1.2837777734124693,1.7634189808977045,0.0,0.0,0.0,0.6112725982571514,0.6070922390893582,0.6154529574249447,0.0,0.0,0.0,0.0,0.0,0.0
N04,Process 04,1.332310322396759,1.1074789777340386,1.5571416670594793,0.0,0.0,0.0,0.6129039172380317,0.6084915109478576,0.6173163235282059,0.0,0.0,0.0,0.0,0.0,0.0
N05,Process 05,1.000572522125054,0.7683584919646481,1.23278655228546,0.0,0.0,0.0,0.609585567104499,0.6043200997230979,0.6148510344859001,0.0,0.0,0.0,0.0,0.0,0.0
