process,name,queue_mean_mean,queue_mean_ci_low,queue_mean_ci_high,sync_mean_mean,sync_mean_ci_low,sync_mean_ci_high,utilization_mean,utilization_ci_low,utilization_ci_high,delta_mean,delta_ci_low,delta_ci_high,gain_percent_mean,gain_percent_ci_low,gain_percent_ci_high
N06,Process 06,28.14233185846897,25.465428549758304,30.819235167179638,0.0,0.0,0.0,0.8622431691006446,0.8561399244803222,0.868346413720967,20.95300335255378,19.633036802670865,22.272969902436692,6.643718482293864,6.252045005404744,7.035391959182984
N07,Process 07,0.8153549281840108,0.7020159234211135,0.928693932946908,0.0,0.0,0.0,0.5716186969863227,0.5581128909497881,0.5851245030228573,0.8345654950672633,0.6175196454836782,1.0516113446508484,0.2661657412903231,0.19704375235806643,0.3352877302225798
N12,Process 12,1.1768484272916877,1.014075824783208,1.3396210298001674,0.0,0.0,0.0,0.5758260444851299,0.5623024155731634,0.5893496733970963,0.8012061576641429,0.5690314396534911,1.0333808756747949,0.2524640655789009,0.18228171334446552,0.32264641781333625
N04,Process 04,4.739773274299442,3.8503369532476484,5.629209595351236,0.0,0.0,0.0,0.5812292144244711,0.5678676571864854,0.5945907716624568,0.7459390395382945,0.5084682195753953,0.9834098595011938,0.23683035048960843,0.16164343168888734,0.3120172692903295
N08,Process 08,1.1814369688835347,0.9731018565255395,1.3897720812415297,0.0,0.0,0.0,0.5764672025746522,0.5636176579708778,0.5893167471784266,0.740770134169527,0.5584722507437568,0.9230680175952971,0.23387868979179618,0.17694937868346228,0.2908080009001301
N02,Process 02,8.078880684512896,6.498939507227162,9.65882186179863,0.0,0.0,0.0,0.5759781592972987,0.5636528723047938,0.5883034462898036,0.7282475320135495,0.5270967512740519,0.9293983127530472,0.2327204128661881,0.16929863451646548,0.29614219121591073
N09,Process 09,1.0522566444769428,0.9318409409668519,1.1726723479870336,0.0,0.0,0.0,0.5718409191650657,0.5596599285442221,0.5840219097859094,0.696374222049385,0.4954097922162265,0.8973386518825436,0.22285694032295944,0.15802545218382172,0.2876884284620972
N10,Process 10,1.0702678081722186,0.9440134582625328,1.1965221580819043,0.0,0.0,0.0,0.5703743358908869,0.5566769588129884,0.5840717129687855,0.6651308052300362,0.46434704963559187,0.8659145608244805,0.21063693947865203,0.14818030335285445,0.2730935756044496
N01,Process 01,57.85196694114566,55.796262875156614,59.90767100713471,0.0,0.0,0.0,0.5675664608366883,0.5537865323162241,0.5813463893571524,0.6281158552213548,0.41792449811520904,0.8383072123275006,0.1993082001830888,0.13446546131973744,0.26415093904644016
N11,Process 11,1.064474323132006,0.9112559928386692,1.2176926534253427,0.0,0.0,0.0,0.5720050519206521,0.5594264867154958,0.5845836171258084,0.6140778413431792,0.46186153692057763,0.7662941457657808,0.19601573393535948,0.14709389803872475,0.24493756983199422
N05,Process 05,3.47827707004689,2.631699267969968,4.3248548721238125,0.0,0.0,0.0,0.5712068037062238,0.555102112014099,0.5873114953983486,0.5991675438748019,0.46496316434517104,0.7333719234044327,0.19211749126367483,0.14886342362979219,0.23537155889755748
N03,Process 03,5.194684906838392,4.343692496734219,6.045677316942564,0.0,0.0,0.0,0.5737363141914495,0.5609442700472865,0.5865283583356126,0.5131530144380543,0.38281074095272694,0.6434952879233816,0.1628353492146339,0.1218540586755544,0.20381663975371342
