process,name,queue_mean_mean,queue_mean_ci_low,queue_mean_ci_high,sync_mean_mean,sync_mean_ci_low,sync_mean_ci_high,utilization_mean,utilization_ci_low,utilization_ci_high,delta_mean,delta_ci_low,delta_ci_high,gain_percent_mean,gain_percent_ci_low,gain_percent_ci_high
N06,Process 06,0.6768176870831368,0.6092530458759327,0.744382328290341,0.0,0.0,0.0,0.8120167042562084,0.8081314434527902,0.8159019650596266,0.837537217102223,0.6973237188195913,0.9777507153848546,0.2510689426558511,0.20913784417918377,0.29300004113251843
N05,Process 05,0.024066946612447418,0.020137707704172003,0.027996185520722833,0.0,0.0,0.0,0.5386081233246645,0.535163872751048,0.5420523738982809,0.32833473263390145,0.3138872721250841,0.3427821931427188,0.09849797419581809,0.09419938062432798,0.1027965677673082
N04,Process 04,0.01696730323746348,0.013563250608159128,0.02037135586676783,0.0,0.0,0.0,0.5415862301437899,0.5384988655839584,0.5446735947036214,0.32808196789488986,0.31616761624483647,0.33999631954494325,0.09843760454420224,0.09488017007772455,0.10199503901067992
N01,Process 01,0.0,0.0,0.0,0.0,0.0,0.0,0.5386805139515921,0.5355089151386064,0.5418521127645778,0.3189179455549106,0.30390678060032467,0.33392911050949653,0.09569171296350149,0.09118923549466061,0.10019419043234236
N02,Process 02,0.0011198847273602651,0.00041509543497273793,0.0018246740197477925,0.0,0.0,0.0,0.5409937091743686,0.5381346502104779,0.5438527681382593,0.31548866450606056,0.3017408283047502,0.3292365007073709,0.09464878135652018,0.0905533068026508,0.09874425591038956
N12,Process 12,0.05060868981411562,0.042684582001023944,0.0585327976272073,0.0,0.0,0.0,0.5411278303275219,0.5379579053041273,0.5442977553509164,0.31473228516050883,0.28532067902517083,0.3441438912958468,0.09441320450982518,0.08562195777613484,0.10320445124351553
N11,Process 11,0.04009069006219579,0.03404065378973284,0.04614072633465874,0.0,0.0,0.0,0.5396597766212919,0.5366394684040753,0.5426800848385086,0.3103775756278264,0.29706734058530054,0.3236878106703523,0.09312824640771572,0.08913950930941601,0.09711698350601543
N03,Process 03,0.008927036961515061,0.00613999486807363,0.011714079054956493,0.0,0.0,0.0,0.5401502100752712,0.5372494883039692,0.5430509318465732,0.30805726620961765,0.29663841712605443,0.3194761152931809,0.09242278933108686,0.08902542299481962,0.09582015566735409
N08,Process 08,0.020037791950955293,0.015018241404177651,0.025057342497732935,0.0,0.0,0.0,0.5406522415207256,0.5377522691647798,0.5435522138766713,0.30338027210581797,0.2901765694772829,0.31658397473435307,0.09103840849837513,0.0870591027493018,0.09501771424744847
N09,Process 09,0.029409562218930305,0.024185823021218834,0.034633301416641775,0.0,0.0,0.0,0.5392210470620422,0.5361709860376922,0.5422711080863922,0.303328919446152,0.29172083136833254,0.3149370075239714,0.09101106586074606,0.08753815869000049,0.09448397303149163
N07,Process 07,0.0032546555485190917,0.0017948006500576857,0.004714510446980498,0.0,0.0,0.0,0.5391701080534892,0.5354815784326202,0.5428586376743582,0.30251778832590615,0.29015518159179227,0.31488039506002,0.09076243575291237,0.08707688753456566,0.09444798397125909
N10,Process 10,0.037445250496487746,0.030307975041025108,0.044582525951950384,0.0,0.0,0.0,0.5389461024223084,0.5358466531249109,0.542045551719706,0.30008505011742387,0.28753821159616455,0.3126318886386832,0.09002971581582411,0.08629374867751088,0.09376568295413734
