run,job,process,server,release,first_component,ready,start,finish,service,queue_wait,sync_wait
0,0,N01,0,0.0,0.0,0.0,0.0,2.318849826297098,2.318849826297098,0.0,0.0
0,1,N01,0,1.0,1.0,1.0,2.318849826297098,5.225408758543914,2.9065589322468153,1.318849826297098,0.0
0,2,N01,0,2.0,2.0,2.0,5.225408758543914,7.616656133897126,2.3912473753532124,3.2254087585439137,0.0
0,3,N01,0,3.0,3.0,3.0,7.616656133897126,10.505857036029841,2.8892009021327145,4.616656133897126,0.0
0,4,N01,0,4.0,4.0,4.0,10.505857036029841,13.0910091052802,2.5851520692503582,6.505857036029841,0.0
0,5,N01,0,5.0,5.0,5.0,13.0910091052802,16.333794348289025,3.242785243008826,8.0910091052802,0.0
0,6,N01,0,6.0,6.0,6.0,16.333794348289025,19.215755596426632,2.8819612481376056,10.333794348289025,0.0
0,7,N01,0,7.0,7.0,7.0,19.215755596426632,22.328734162914962,3.1129785664883314,12.215755596426632,0.0
0,8,N01,0,8.0,8.0,8.0,22.328734162914962,25.097169343766787,2.7684351808518257,14.328734162914962,0.0
0,9,N01,0,9.0,9.0,9.0,25.097169343766787,27.54444958361098,2.447280239844192,16.097169343766787,0.0
0,10,N01,0,10.0,10.0,10.0,27.54444958361098,30.02353589027875,2.4790863066677704,17.54444958361098,0.0
0,11,N01,0,11.0,11.0,11.0,30.02353589027875,32.872400841429176,2.848864951150425,19.02353589027875,0.0
0,12,N01,0,12.0,12.0,12.0,32.872400841429176,35.92879857869986,3.056397737270688,20.872400841429176,0.0
0,13,N01,0,13.0,13.0,13.0,35.92879857869986,39.075282593746664,3.146484015046802,22.928798578699862,0.0
0,14,N01,0,14.0,14.0,14.0,39.075282593746664,42.36856249863813,3.2932799048914636,25.075282593746664,0.0
0,15,N01,0,15.0,15.0,15.0,42.36856249863813,44.67274031817271,2.304177819534578,27.368562498638127,0.0
0,16,N01,0,16.0,16.0,16.0,44.67274031817271,48.46480564078548,3.792065322612768,28.672740318172707,0.0
0,17,N01,0,17.0,17.0,17.0,48.46480564078548,51.34954920081659,2.884743560031113,31.464805640785478,0.0
0,18,N01,0,18.0,18.0,18.0,51.34954920081659,54.68496606000483,3.335416859188243,33.34954920081659,0.0
0,19,N01,0,19.0,19.0,19.0,54.68496606000483,58.281552268132685,3.5965862081278526,35.68496606000483,0.0
0,20,N01,0,20.0,20.0,20.0,58.281552268132685,61.42416143080838,3.142609162675696,38.281552268132685,0.0
0,21,N01,0,21.0,21.0,21.0,61.42416143080838,64.51260810982885,3.0884466790204606,40.42416143080838,0.0
0,22,N01,0,22.0,22.0,22.0,64.51260810982885,67.31361386924667,2.8010057594178166,42.51260810982885,0.0
0,23,N01,0,23.0,23.0,23.0,67.31361386924667,70.29300608435098,2.9793922151043137,44.313613869246666,0.0
0,24,N01,0,24.0,24.0,24.0,70.29300608435098,73.29403858058174,3.0010324962307617,46.29300608435098,0.0
0,25,N01,0,25.0,25.0,25.0,73.29403858058174,75.51347753238322,2.219438951801481,48.29403858058174,0.0
0,26,N01,0,26.0,26.0,26.0,75.51347753238322,78.74588157038522,3.2324040380020063,49.51347753238322,0.0
0,27,N01,0,27.0,27.0,27.0,78.74588157038522,82.16372789378327,3.417846323398049,51.74588157038522,0.0
0,28,N01,0,28.0,28.0,28.0,82.16372789378327,85.14553099926802,2.981803105484743,54.163727893783275,0.0
0,29,N01,0,29.0,29.0,29.0,85.14553099926802,87.84641967381776,2.700888674549743,56.14553099926802,0.0
0,30,N01,0,30.0,30.0,30.0,87.84641967381776,90.06700433672529,2.220584662907529,57.84641967381776,0.0
0,31,N01,0,31.0,31.0,31.0,90.06700433672529,92.54648676040065,2.4794824236753596,59.06700433672529,0.0
0,32,N01,0,32.0,32.0,32.0,92.54648676040065,96.34649142174115,3.800004661340491,60.546486760400654,0.0
0,33,N01,0,33.0,33.0,33.0,96.34649142174115,99.2383478366662,2.8918564149250416,63.34649142174115,0.0
0,34,N01,0,34.0,34.0,34.0,99.2383478366662,101.698969779949,2.460621943282802,65.2383478366662,0.0
0,35,N01,0,35.0,35.0,35.0,101.698969779949,105.02366744322892,3.324697663279917,66.698969779949,0.0
0,36,N01,0,36.0,36.0,36.0,105.02366744322892,107.84951984695456,2.8258524037256496,69.02366744322892,0.0
0,37,N01,0,37.0,37.0,37.0,107.84951984695456,110.78082096604915,2.931301119094581,70.84951984695456,0.0
0,38,N01,0,38.0,38.0,38.0,110.78082096604915,113.58463668246354,2.8038157164143898,72.78082096604915,0.0
0,39,N01,0,39.0,39.0,39.0,113.58463668246354,117.04152945108868,3.456892768625137,74.58463668246354,0.0
0,40,N01,0,40.0,40.0,40.0,117.04152945108868,119.78439604098082,2.74286658989215,77.04152945108868,0.0
0,41,N01,0,41.0,41.0,41.0,119.78439604098082,122.70558694273723,2.921190901756404,78.78439604098082,0.0
0,42,N01,0,42.0,42.0,42.0,122.70558694273723,125.94158038645004,3.235993443712816,80.70558694273723,0.0
0,43,N01,0,43.0,43.0,43.0,125.94158038645004,128.34887151233542,2.4072911258853855,82.94158038645004,0.0
0,44,N01,0,44.0,44.0,44.0,128.34887151233542,130.7637206189034,2.4148491065679574,84.34887151233542,0.0
0,45,N01,0,45.0,45.0,45.0,130.7637206189034,133.58996181980186,2.8262412008984685,85.76372061890339,0.0
0,46,N01,0,46.0,46.0,46.0,133.58996181980186,136.31878655353555,2.728824733733696,87.58996181980186,0.0
0,47,N01,0,47.0,47.0,47.0,136.31878655353555,139.79091038045382,3.4721238269182755,89.31878655353555,0.0
0,48,N01,0,48.0,48.0,48.0,139.79091038045382,142.2162802712129,2.425369890759068,91.79091038045382,0.0
0,49,N01,0,49.0,49.0,49.0,142.2162802712129,144.9087099710299,2.6924296998170236,93.2162802712129,0.0
