run,process,baseline,improved,delta,gain_percent
0,N01,306.7315301484383,306.4996451658086,0.23188498262970825,0.0755986782700464
0,N02,306.7315301484383,306.4203672372312,0.31116291120713413,0.10144470999005264
0,N03,306.7315301484383,306.5114247042176,0.22010544422073508,0.07175833671687362
0,N04,306.7315301484383,306.4740782062206,0.25745194221769907,0.08393396730134293
0,N05,306.7315301484383,306.40610186083154,0.3254282876067691,0.10609547947329796
0,N06,306.7315301484383,279.2188163868165,27.512713761621796,8.96963991550116
0,N07,306.7315301484383,306.42285134096153,0.308678807476781,0.10063484746005745
0,N08,306.7315301484383,306.4778987870205,0.25363136141783116,0.08268838919008095
0,N09,306.7315301484383,306.3870816732588,0.3444484751794903,0.11229640298563352
0,N10,306.7315301484383,306.4906691291275,0.24086101931078474,0.07852502779685659
0,N11,306.7315301484383,306.3292166931287,0.4023134553095815,0.13116142807845274
0,N12,306.7315301484383,306.4670575817924,0.2644725666459067,0.0862228172362714
1,N01,296.1332282652185,295.465123011865,0.6681052533535308,0.2256096883377005
1,N02,296.1332282652185,295.78441886081805,0.3488094044004697,0.1177879991528928
1,N03,296.1332282652185,295.8911456475295,0.2420826176889932,0.08174787378881464
1,N04,296.1332282652185,295.81784162678804,0.315386638430482,0.10650160411854222
1,N05,296.1332282652185,295.776584948259,0.3566433169594916,0.12043340055040358
1,N06,296.1332282652185,270.09953147606814,26.033696789150383,8.791210949766995
1,N07,296.1332282652185,295.9044193142213,0.22880895099723375,0.07726554440973142
1,N08,296.1332282652185,295.912111550369,0.22111671484952922,0.07466798513117072
1,N09,296.1332282652185,295.84430007501805,0.28892819020046545,0.09756696061871847
1,N10,296.1332282652185,295.81216003164667,0.3210682335718502,0.10842019838594397
1,N11,296.1332282652185,295.85760235772057,0.2756259074979539,0.0930749680178078
1,N12,296.1332282652185,295.82017745579714,0.31305080942138375,0.10571282772124908
2,N01,308.4400903968827,308.1077386042515,0.3323517926311865,0.10775246246476444
2,N02,308.4400903968827,308.1495547266981,0.2905356701845676,0.09419517087118062
2,N03,308.4400903968827,308.10292691317755,0.33716348370512605,0.10931247078526134
2,N04,308.4400903968827,308.1463833650663,0.2937070318163819,0.09522336458871376
2,N05,308.4400903968827,307.9638443796429,0.47624601723975957,0.1544047068028524
2,N06,308.4400903968827,281.4054325748821,27.034657822000554,8.764962358561734
2,N07,308.4400903968827,308.1406446623781,0.2994457345045589,0.09708392126303998
2,N08,308.4400903968827,308.1782794332349,0.2618109636478039,0.08488227432138307
2,N09,308.4400903968827,308.14303238957643,0.2970580073062479,0.09630979128686254
2,N10,308.4400903968827,308.15500550638046,0.28508489050221897,0.09242796231040797
2,N11,308.4400903968827,308.1127675024854,0.3273228943972981,0.10612203296144744
2,N12,308.4400903968827,308.15570908522767,0.2843813116550109,0.09219985355635374
3,N01,300.2762288119034,299.96642092026616,0.30980789163726286,0.10317429816641602
3,N02,300.2762288119034,299.56400278979294,0.7122260221104852,0.2371902780744699
3,N03,300.2762288119034,299.9313299793647,0.34489883253871767,0.1148605182312871
3,N04,300.2762288119034,299.88156199058176,0.394666821321664,0.13143458704115002
3,N05,300.2762288119034,299.964484109294,0.3117447026094169,0.10381930792287172
3,N06,300.2762288119034,274.5712732875984,25.704955524305035,8.560436377535206
3,N07,300.2762288119034,299.9540435753929,0.32218523651050646,0.10729628441961254
3,N08,300.2762288119034,299.9382254974371,0.33800331446633436,0.11256412663889676
3,N09,300.2762288119034,299.9322206128479,0.3440081990555086,0.11456391350612019
3,N10,300.2762288119034,300.01087526878257,0.26535354312085246,0.08836981341172799
3,N11,300.2762288119034,299.98113702956573,0.2950917823376926,0.09827344092646828
3,N12,300.2762288119034,299.5915478007266,0.6846810111768491,0.22801705412576678
4,N01,303.9379251704616,303.6393475456045,0.2985776248571028,0.09823638319885467
4,N02,303.9379251704616,303.67280805585665,0.2651171146049478,0.08722738844001077
4,N03,303.9379251704616,303.5976972995889,0.34022787087269535,0.11193992019320417
4,N04,303.9379251704616,303.5964882218378,0.3414369486238229,0.11233772436668778
4,N05,303.9379251704616,303.70150789179837,0.23641727866322526,0.07778472480215563
4,N06,303.9379251704616,276.7608692503189,27.17705592014272,8.941646852692255
4,N07,303.9379251704616,303.59669944987905,0.34122572058254264,0.11226822726751472
4,N08,303.9379251704616,303.62902566339886,0.3088995070627334,0.10163243263883213
4,N09,303.9379251704616,303.6701639389681,0.26776123149352316,0.08809734137105497
4,N10,303.9379251704616,303.6854139192246,0.2525112512370242,0.08307987596329248
4,N11,303.9379251704616,303.60992571116594,0.3279994592956541,0.10791659484800975
4,N12,303.9379251704616,303.7013625808517,0.23656258960988907,0.07783253421803629
5,N01,309.29277155060305,309.0059177241078,0.28685382649524627,0.09274507938130537
5,N02,309.29277155060305,308.99572410968045,0.29704744092259716,0.09604086103706357
5,N03,309.29277155060305,309.0307371230889,0.26203442751415196,0.08472051454693658
5,N04,309.29277155060305,308.8807365370459,0.41203501355715844,0.13321844267212235
5,N05,309.29277155060305,308.97687871131853,0.3158928392845155,0.10213392240006897
5,N06,309.29277155060305,281.73595206240225,27.5568194882008,8.909622863168742
5,N07,309.29277155060305,308.9483455379969,0.34442601260616357,0.1113592182835131
5,N08,309.29277155060305,309.00919931221813,0.2835722383849202,0.09168408203116549
5,N09,309.29277155060305,308.99516108094736,0.2976104696556945,0.09622289850605278
5,N10,309.29277155060305,308.93221108721906,0.3605604633839903,0.11657578079706249
5,N11,309.29277155060305,308.99283999278657,0.2999315578164783,0.09697334868603834
5,N12,309.29277155060305,309.0802781733646,0.2124933772384452,0.06870298848988114
6,N01,302.03021125074304,301.72536276444185,0.3048484863011822,0.10093311031329229
6,N02,302.03021125074304,301.75353065078934,0.27668059995369276,0.0916069285943037
6,N03,302.03021125074304,301.68884059857413,0.34137065216890505,0.11302533304706458
6,N04,302.03021125074304,301.73618825419834,0.29402299654469743,0.0973488696137758
6,N05,302.03021125074304,301.70423154882405,0.32597970191898185,0.10792950167768355
6,N06,302.03021125074304,275.31098137438414,26.719229876358895,8.846542127594251
6,N07,302.03021125074304,301.72249290749835,0.3077183432446873,0.10188329901515117
6,N08,302.03021125074304,301.70989610509025,0.32031514565278485,0.10605400841403306
