run,process,queue_total,queue_mean,sync_total,sync_mean,service_mean,utilization,queue_time_average
0,N01,2911.1979561007774,48.519965935012955,0.0,0.0,2.699826660398145,0.494251268276848,8.882442362648984
0,N02,553.2215886489835,9.220359810816392,0.0,0.0,2.967008557570403,0.5431636645706637,1.6879507848821784
0,N03,376.4231338233441,6.273718897055734,0.0,0.0,2.8950574085164793,0.5299917275735552,1.1485157796111802
0,N04,474.3189272396884,7.905315453994806,0.0,0.0,2.921891185393513,0.5349041274874725,1.4472085362285076
0,N05,67.1714899384136,1.1195248323068934,0.0,0.0,2.4640156438117975,0.4510818693924517,0.2049489237036826
0,N06,3955.187188044063,65.91978646740105,0.0,0.0,4.957696177210474,0.9075944242124802,12.067788848802332
0,N07,54.867381031459765,0.9144563505243294,0.0,0.0,2.774712336776912,0.5079604226714183,0.16740749236242272
0,N08,34.245881680658435,0.5707646946776406,0.0,0.0,2.7603464436404437,0.5053304905328927,0.10448862453653604
0,N09,39.559126028760886,0.6593187671460148,3259.094342949098,54.318239049151636,2.9873893266118485,0.5468947266773349,0.12070002183495347
0,N10,91.07423303912583,1.5179038839854304,0.0,0.0,3.115535088191916,0.5703540865370935,0.27787929158071073
0,N11,32.1100063099704,0.53516677183284,0.0,0.0,2.751245428460209,0.5036643879043727,0.0979717918923731
0,N12,50.652012760028704,0.8442002126671451,0.0,0.0,2.9934478692095783,0.5480038506099045,0.15454585729914586
1,N01,3938.952980589539,65.64921634315898,0.0,0.0,3.226455944443517,0.7101295456729986,14.449119708527919
1,N02,97.68172384779781,1.6280287307966301,0.0,0.0,2.9543524859789967,0.6502407052044862,0.35832235829353615
1,N03,181.8652671169015,3.0310877852816915,0.0,0.0,2.9832577759691126,0.6566026394139326,0.6671298257036358
1,N04,116.50587684475306,1.9417646140792177,0.0,0.0,2.8874567342169835,0.6355172282303087,0.427374322458882
1,N05,214.82797017900953,3.5804661696501587,0.0,0.0,3.049080508855537,0.6710899493925765,0.7880457251337869
1,N06,1524.2216392264804,25.403693987108007,0.0,0.0,4.153459666835926,0.9141592127612435,5.59124748024177
1,N07,33.995396908165425,0.5665899484694238,0.0,0.0,2.9015924650975893,0.6386284438553935,0.12470409316525637
1,N08,53.168415539639575,0.886140258993993,0.0,0.0,2.843773518565712,0.6259027339932508,0.1950357886044192
1,N09,95.2405288675893,1.587342147793155,1160.8643245444505,19.347738742407508,3.0776987153387783,0.6773886977151499,0.3493674104496015
1,N10,43.856023552050175,0.7309337258675029,0.0,0.0,2.8617163912684327,0.629851885712615,0.16087547563178842
1,N11,50.09853468843474,0.834975578140579,0.0,0.0,2.687087441345609,0.5914167795139353,0.18377465496597262
1,N12,46.388686655968996,0.7731447775994833,0.0,0.0,2.6798685948082084,0.5898279413893313,0.17016595270786103
2,N01,4456.454200985881,74.27423668309801,0.0,0.0,3.3987608508722107,0.6581490691951583,14.382747678647952
2,N02,103.59630106888109,1.7266050178146848,0.0,0.0,2.8979279679064827,0.5611658714330586,0.3343464089421896
2,N03,68.99729657101376,1.1499549428502294,0.0,0.0,2.8190612982301197,0.545893827439525,0.2226816797242514
2,N04,221.42258862612792,3.690376477102132,0.0,0.0,3.2150094362190287,0.6225667414517249,0.714618636012939
2,N05,170.0286020845012,2.8338100347416866,0.0,0.0,3.0074464609531266,0.5823734519075152,0.5487498292686626
2,N06,2126.1755026334095,35.43625837722349,0.0,0.0,4.705435697431166,0.9111785913466821,6.86201280114888
2,N07,36.04960519387823,0.6008267532313039,0.0,0.0,3.097642960690455,0.5998394475898975,0.11634639379974411
2,N08,44.66192669179401,0.7443654448632334,0.0,0.0,2.92258632627145,0.5659408103940093,0.14414177583340557
2,N09,47.225028777626534,0.7870838129604423,1902.7453157845143,31.712421929741904,2.874231839230239,0.5565772623145923,0.15241392425287997
2,N10,42.95147257641075,0.7158578762735125,0.0,0.0,2.870494878714871,0.555853622966982,0.138621461061177
2,N11,31.142225871798857,0.5190370978633143,0.0,0.0,3.0436250956985584,0.5893792213120754,0.10050833166117942
2,N12,36.178784922235,0.6029797487039167,0.0,0.0,2.918766787807272,0.5652011803360991,0.11676330808952651
3,N01,3706.4442341902354,61.77407056983726,0.0,0.0,3.0730397133067324,0.6298295918560626,12.660798845460521
3,N02,241.73858495181034,4.0289764158635055,0.0,0.0,2.983192875210563,0.6114151870168955,0.8257519616856733
3,N03,700.0020649907103,11.666701083178506,0.0,0.0,3.390719610613588,0.6949391311813298,2.3911287412612636
3,N04,106.3413935080126,1.7723565584668768,0.0,0.0,2.9841636424207016,0.6116141489480093,0.3632503032775444
