process,name,queue_mean_mean,queue_mean_ci_low,queue_mean_ci_high,sync_mean_mean,sync_mean_ci_low,sync_mean_ci_high,utilization_mean,utilization_ci_low,utilization_ci_high,delta_mean,delta_ci_low,delta_ci_high,gain_percent_mean,gain_percent_ci_low,gain_percent_ci_high
N06,Process 06,38.92068016407631,36.159220155917495,41.68214017223512,0.0,0.0,0.0,0.8962151641286857,0.8902871600855597,0.9021431681718117,22.831610255451192,21.751095210953455,23.91212529994893,7.53123177361404,7.205425899797775,7.857037647430306
N07,Process 07,0.8347757860753178,0.7163612459102608,0.9531903262403747,0.0,0.0,0.0,0.5942602347971311,0.579888302213886,0.6086321673803762,0.8345654950672587,0.6175196454836722,1.0516113446508453,0.27659453240690857,0.20461030561865354,0.34857875919516357
N12,Process 12,1.199570450971469,1.0272099604811173,1.3719309414618208,0.0,0.0,0.0,0.5986548790542673,0.5841381430118826,0.613171615096652,0.8012061576641429,0.569031439653491,1.0333808756747949,0.2620711377624195,0.18954561242613777,0.3345966630987013
N08,Process 08,1.2146267835471223,1.002094070752766,1.4271594963414787,0.0,0.0,0.0,0.5992918539626221,0.585649459433716,0.6129342484915281,0.7407701341695259,0.5584722507437564,0.9230680175952953,0.24289983291269254,0.18394992249370773,0.30184974333167736
N01,Process 01,57.85196694114566,55.796262875156614,59.90767100713471,0.0,0.0,0.0,0.5901125352745036,0.5752780191450476,0.6049470514039595,0.7177460667877483,0.46175154262715334,0.9737405909483433,0.23896694325954035,0.15194359422006395,0.32599029229901677
N09,Process 09,1.0687223659433491,0.9406826696304558,1.1967620622562425,29.267518926492013,26.50749176175422,32.02754609122981,0.5945255437640845,0.5813940927442998,0.6076569947838693,0.6963742220493839,0.49540979221622533,0.8973386518825426,0.2320442374123527,0.16431832194076373,0.29977015288394165
N10,Process 10,1.098349257024027,0.9725115402998719,1.224186973748182,0.0,0.0,0.0,0.5928826446452806,0.5785579241478224,0.6072073651427389,0.6651308052300351,0.4643470496355903,0.8659145608244798,0.2180126068533409,0.15398435134212157,0.2820408623645602
N02,Process 02,8.078880684512896,6.498939507227162,9.65882186179863,0.0,0.0,0.0,0.5988274745553616,0.5854698149316622,0.612185134179061,0.6544678170088719,0.5021905915326146,0.8067450424851292,0.2171503508933081,0.16641843898708056,0.2678822627995356
N11,Process 11,1.0864555795706068,0.9315880765981044,1.2413230825431092,0.0,0.0,0.0,0.5946120918216414,0.5813412230663195,0.6078829605769633,0.6140778413431792,0.46186153692057763,0.7662941457657808,0.20373444521649728,0.15291828159392443,0.2545506088390701
N03,Process 03,5.194684906838392,4.343692496734219,6.045677316942564,0.0,0.0,0.0,0.5965130700188147,0.5826605249974661,0.6103656150401633,0.0,0.0,0.0,0.0,0.0,0.0
N04,Process 04,4.739773274299442,3.8503369532476484,5.629209595351236,0.0,0.0,0.0,0.6042019727556913,0.5900928288757483,0.6183111166356343,0.0,0.0,0.0,0.0,0.0,0.0
N05,Process 05,3.47827707004689,2.631699267969968,4.3248548721238125,0.0,0.0,0.0,0.5938916419469452,0.5766901106692094,0.611093173224681,0.0,0.0,0.0,0.0,0.0,0.0
