process,name,queue_mean_mean,queue_mean_ci_low,queue_mean_ci_high,sync_mean_mean,sync_mean_ci_low,sync_mean_ci_high,utilization_mean,utilization_ci_low,utilization_ci_high,delta_mean,delta_ci_low,delta_ci_high,gain_percent_mean,gain_percent_ci_low,gain_percent_ci_high
N06,Process 06,5.092464102146998,4.121207625601103,6.063720578692893,0.0,0.0,0.0,0.7841137230257076,0.772356233961226,0.7958712120901892,3.9878717408084343,2.7854187209650485,5.19032476065182,1.13564287338641,0.8009110899413963,1.4703746568314235
N12,Process 12,0.8843593800142722,0.7648181319659653,1.003900628062579,0.0,0.0,0.0,0.5226306102341407,0.5121706505918311,0.5330905698764503,0.7016017605715115,0.47400915760592033,0.9291943635371026,0.20099517552441187,0.137361854652612,0.2646284963962118
N04,Process 04,0.6468166879076186,0.5638096385378569,0.7298237372773803,0.0,0.0,0.0,0.5274996889100667,0.5171788402617387,0.5378205375583948,0.6774070405957707,0.5190796107995254,0.8357344703920161,0.19501908872045817,0.14981981348463172,0.24021836395628463
N05,Process 05,0.7143490094834917,0.6371960097261168,0.7915020092408666,0.0,0.0,0.0,0.5180940282162267,0.506148230696294,0.5300398257361595,0.6647641861861427,0.5512099733128183,0.7783183990594672,0.1914343879729053,0.15934940271273118,0.2235193732330794
N08,Process 08,0.8137123775175885,0.6766904643152207,0.9507342907199563,0.0,0.0,0.0,0.5230622755085518,0.5140629055414824,0.5320616454756212,0.6180828253007701,0.46046547263017823,0.7757001779713619,0.1783418692714326,0.1329175941544405,0.22376614438842474
N10,Process 10,0.7937720306466496,0.6891503260503664,0.8983937352429328,0.0,0.0,0.0,0.5175345255629162,0.507533489617374,0.5275355615084585,0.5965607038309235,0.40139346457836983,0.7917279430834772,0.17199406003334727,0.11587817901601238,0.22810994105068216
N09,Process 09,0.7672967134242396,0.6781346491145319,0.8564587777339472,0.0,0.0,0.0,0.519085130365005,0.5096950734460358,0.5284751872839742,0.5911243674167395,0.4281862797164376,0.7540624551170414,0.17117991574773875,0.12382295570302011,0.2185368757924574
N03,Process 03,0.5532995569841224,0.4760901241431309,0.6305089898251138,0.0,0.0,0.0,0.5207658190892712,0.5108973435005792,0.5306342946779632,0.5586183629069194,0.44395109166287944,0.6732856341509593,0.16154735375795964,0.12819975885063056,0.19489494866528873
N07,Process 07,0.5608541234729851,0.4904141594387585,0.6312940875072117,0.0,0.0,0.0,0.5189217703964804,0.5082103457393579,0.5296331950536028,0.5487928185095428,0.4374996945151091,0.6600859425039763,0.15892427996099853,0.1265111267574801,0.19133743316451696
N02,Process 02,0.3877248725311506,0.3393284860450577,0.4361212590172435,0.0,0.0,0.0,0.522785775970223,0.5135887659419431,0.5319827859985029,0.5317942388396069,0.43264917584357643,0.6309393018356373,0.1535758113938344,0.12514736138534105,0.18200426140232773
N01,Process 01,0.15974649066533866,0.11918978305567837,0.20030319827499896,0.0,0.0,0.0,0.5149897347340037,0.504751612665369,0.5252278568026383,0.4956860384762547,0.41975726735028224,0.5716148096022272,0.14336817611494737,0.12145524192700233,0.16528111030289241
N11,Process 11,0.7856813318475423,0.6756853415202679,0.8956773221748167,0.0,0.0,0.0,0.5191875583963909,0.5094862027233182,0.5288889140694635,0.4574685361504851,0.37640378893953275,0.5385332833614375,0.13230926929155493,0.10880808938327033,0.15581044919983952
