run,job,process,server,release,first_component,ready,start,finish,service,queue_wait,sync_wait
0,59,N11,0,295.0,318.1380576824021,318.1380576824021,318.1380576824021,322.1611922354979,4.023134553095772,0.0,0.0
0,0,N12,0,0.0,25.962626789296323,25.962626789296323,25.962626789296323,28.60963792614644,2.6470111368501184,0.0,0.0
0,1,N12,0,5.0,29.622556494804414,29.622556494804414,29.622556494804414,33.41044249514059,3.7878860003361785,0.0,0.0
0,2,N12,0,10.0,34.640595458951196,34.640595458951196,34.640595458951196,37.56811053754745,2.927515078596253,0.0,0.0
0,3,N12,0,15.0,41.485277288233505,41.485277288233505,41.485277288233505,44.33192977935194,2.846652491118434,0.0,0.0
0,4,N12,0,20.0,47.14919654130567,47.14919654130567,47.14919654130567,49.9089125458465,2.759716004540829,0.0,0.0
0,5,N12,0,25.0,50.516766040491795,50.516766040491795,50.516766040491795,53.42000773091019,2.9032416904184,0.0,0.0
0,6,N12,0,30.0,57.38537918851766,57.38537918851766,57.38537918851766,60.46374291817748,3.078363729659823,0.0,0.0
0,7,N12,0,35.0,61.47347019313421,61.47347019313421,61.47347019313421,65.23525489286946,3.7617846997352533,0.0,0.0
0,8,N12,0,40.0,67.36299400708967,67.36299400708967,67.36299400708967,70.52531071275291,3.1623167056632497,0.0,0.0
0,9,N12,0,45.0,70.89420497893119,70.89420497893119,70.89420497893119,74.12331981008188,3.2291148311506994,0.0,0.0
0,10,N12,0,50.0,76.24519853408488,76.24519853408488,76.24519853408488,79.13942534639983,2.894226812314955,0.0,0.0
0,11,N12,0,55.0,79.27669749605761,79.27669749605761,79.27669749605761,82.33832071348593,3.0616232174283207,0.0,0.0
0,12,N12,0,60.0,84.35658425268932,84.35658425268932,84.35658425268932,87.49647014308952,3.1398858904002025,0.0,0.0
0,13,N12,0,65.0,90.77848475681817,90.77848475681817,90.77848475681817,93.76175549041338,2.9832707335952033,0.0,0.0
0,14,N12,0,70.0,97.00151789236742,97.00151789236742,97.00151789236742,99.69669306355681,2.6951751711893834,0.0,0.0
0,15,N12,0,75.0,101.23956492344348,101.23956492344348,101.23956492344348,104.57146994917778,3.3319050257343026,0.0,0.0
0,16,N12,0,80.0,107.12320350930013,107.12320350930013,107.12320350930013,110.05848958536572,2.935286076065597,0.0,0.0
0,17,N12,0,85.0,111.4489307629383,111.4489307629383,111.4489307629383,114.11639419276946,2.667463429831159,0.0,0.0
0,18,N12,0,90.0,114.95130812367877,114.95130812367877,114.95130812367877,118.36559439488006,3.4142862712012887,0.0,0.0
0,19,N12,0,95.0,121.04330064143413,121.04330064143413,121.04330064143413,123.43117107937411,2.3878704379399793,0.0,0.0
0,20,N12,0,100.0,125.41156664384528,125.41156664384528,125.41156664384528,128.69349082680407,3.2819241829587917,0.0,0.0
0,21,N12,0,105.0,130.31680518425995,130.31680518425995,130.31680518425995,134.55407015278954,4.237264968529591,0.0,0.0
0,22,N12,0,110.0,138.32266275282805,138.32266275282805,138.32266275282805,141.62660948976745,3.3039467369393893,0.0,0.0
0,23,N12,0,115.0,142.45384318090882,142.45384318090882,142.45384318090882,145.95610900364437,3.502265822735562,0.0,0.0
0,24,N12,0,120.0,146.3504520314644,146.3504520314644,146.3504520314644,149.17234970848455,2.8218976770201274,0.0,0.0
0,25,N12,0,125.0,153.28489550573187,153.28489550573187,153.28489550573187,156.0737351654085,2.788839659676614,0.0,0.0
0,26,N12,0,130.0,157.7618485644009,157.7618485644009,157.7618485644009,160.7136811074241,2.9518325430231913,0.0,0.0
0,27,N12,0,135.0,164.5615413015596,164.5615413015596,164.5615413015596,168.23456140825095,3.6730201066913564,0.0,0.0
0,28,N12,0,140.0,168.0775715404738,168.0775715404738,168.23456140825095,170.90341918195102,2.668857773700059,0.15698986777715618,0.0
0,29,N12,0,145.0,172.71700624541285,172.71700624541285,172.71700624541285,175.291554732135,2.574548486722166,0.0,0.0
0,30,N12,0,150.0,176.40946603051228,176.40946603051228,176.40946603051228,179.2486817592333,2.839215728721036,0.0,0.0
0,31,N12,0,155.0,181.85429016877796,181.85429016877796,181.85429016877796,184.3384580832211,2.4841679144431352,0.0,0.0
0,32,N12,0,160.0,185.07831742597796,185.07831742597796,185.07831742597796,188.70962325313005,3.631305827152102,0.0,0.0
0,33,N12,0,165.0,190.9543752480238,190.9543752480238,190.9543752480238,193.58956041918756,2.635185171163757,0.0,0.0
0,34,N12,0,170.0,196.11397729027937,196.11397729027937,196.11397729027937,198.8182823549349,2.7043050646555398,0.0,0.0
0,35,N12,0,175.0,199.6595082979188,199.6595082979188,199.6595082979188,203.032193600031,3.3726853021122234,0.0,0.0
0,36,N12,0,180.0,204.32758683245316,204.32758683245316,204.32758683245316,207.30030567372137,2.97271884126819,0.0,0.0
0,37,N12,0,185.0,207.93015252260645,207.93015252260645,207.93015252260645,210.67805738673465,2.7479048641282153,0.0,0.0
0,38,N12,0,190.0,213.3694796780033,213.3694796780033,213.3694796780033,216.31906668473036,2.9495870067270453,0.0,0.0
0,39,N12,0,195.0,224.97174553507335,224.97174553507335,224.97174553507335,227.82749379303758,2.8557482579642284,0.0,0.0
0,40,N12,0,200.0,227.6512019856427,227.6512019856427,227.82749379303758,230.42932514961976,2.6018313565821902,0.17629180739487538,0.0
0,41,N12,0,205.0,231.444495150998,231.444495150998,231.444495150998,234.96900108648958,3.5245059354916024,0.0,0.0
0,42,N12,0,210.0,234.2681858062089,234.2681858062089,234.96900108648958,238.46079808115044,3.491796994660868,0.7008152802806933,0.0
0,43,N12,0,215.0,239.2806208504751,239.2806208504751,239.2806208504751,241.97704824819442,2.6964273977193365,0.0,0.0
0,44,N12,0,220.0,243.2919328968547,243.2919328968547,243.2919328968547,245.72836334339286,2.436430446538178,0.0,0.0
0,45,N12,0,225.0,250.95428269056592,250.95428269056592,250.95428269056592,253.57390891693365,2.6196262263677306,0.0,0.0
0,46,N12,0,230.0,257.05603960301886,257.05603960301886,257.05603960301886,260.61153124494854,3.5554916419296654,0.0,0.0
0,47,N12,0,235.0,259.5897466521935,259.5897466521935,260.61153124494854,263.2735345540409,2.6620033090923902,1.0217845927550115,0.0
0,48,N12,0,240.0,264.73627573612333,264.73627573612333,264.73627573612333,267.92454961216066,3.188273876037302,0.0,0.0
0,49,N12,0,245.0,269.3816641715958,269.3816641715958,269.3816641715958,271.91054469461045,2.5288805230146587,0.0,0.0
