run,makespan,throughput,mean_flow
0,324.805917901957,0.1847256983110482,29.16165153048139
1,322.85013172419866,0.18584474375019375,28.712972610795926
2,324.22451574523603,0.1850569500029598,29.209188150577656
3,325.7851291559538,0.1841704689082905,29.272850401479342
4,323.6075857076929,0.18540974516647019,28.919260515955997
5,324.44579619909894,0.18493073635998195,29.11130872976547
6,322.66355625185,0.1859522057494709,28.708204942394413
7,322.25399184927005,0.1861885392192882,28.904704907182595
8,323.6488764264937,0.18538609082311164,29.497440928185643
9,324.3661397188813,0.18497615087690797,28.985473729288554
10,323.45850876570233,0.18549519760341532,29.061283914648865
11,322.34359083257647,0.18613678604568154,29.012667895985615
12,325.37752860327896,0.18440117932408243,28.945765320169233
13,322.3576876572306,0.1861286462130204,28.72616742731408
14,323.4105488855309,0.18552270544903166,28.695714977068743
15,323.13968535439494,0.1856782150858276,28.929349705948777
16,323.27817197419125,0.18559867384052786,28.81165545546952
17,324.51528277377713,0.18489113821436448,28.67145593048521
18,325.8100108411105,0.1841564040500294,29.05982834415583
19,326.1885260649656,0.18394270553848377,29.13755076205898
20,324.3554218624152,0.18498226314666244,29.732671363184966
21,323.32979364570105,0.1855690418240483,28.891929833465912
22,323.9661800918888,0.18520451728319845,29.312201614098324
23,322.55643070612894,0.18601396310298374,29.34583504444911
24,324.8063148759158,0.1847254725417562,29.710945603945184
25,324.71440239280525,0.184777760265214,28.902931841776006
26,324.63420816437696,0.18482340582425402,29.726408042991686
27,324.60603655212856,0.18483944610920564,29.00592734251806
28,322.68938536472353,0.18593732152727702,29.488765710223173
29,322.4058433365786,0.1861008453787931,28.961939297448648
30,323.4684111973586,0.18548951898549393,28.962156918070775
31,323.4963019964598,0.18547352668240583,30.107759104250878
32,323.5149948060972,0.18546280995711423,28.942627528832894
33,323.0558481860691,0.18572640098266247,29.40078453118267
34,324.8158964829914,0.18472002340298585,29.076800853384714
35,326.0027880880539,0.1840475057035215,28.879059997275725
36,323.29892852111675,0.18558675797182858,29.25444326699132
37,323.16869662019747,0.18566154651579614,29.47021736193683
38,324.7946371642263,0.18473211418716293,28.80571216518104
39,323.6337694596571,0.1853947444983159,28.913635097957105
40,323.80800485766736,0.18529498684374257,29.300041199971407
41,326.0498900584849,0.18402091774739612,29.017114510544676
42,323.59604999237706,0.18541635474664606,29.34977703634507
43,321.50607225588806,0.18662166962820453,29.242171626039504
44,324.8619202870163,0.18469385376713238,29.50365576194222
45,325.2405068058643,0.18447886639106098,28.848865074794848
46,322.84747635553657,0.185846272293375,28.671415062711723
47,324.5067565304824,0.18489599613117433,29.870274916419156
48,322.8189741699426,0.1858626809476633,28.70633961925871
49,321.41709667399437,0.18667333076204268,29.153761500325768
