run,makespan,throughput,mean_flow
0,303.0,0.19801980198019803,140.75
1,303.0,0.19801980198019803,140.75
2,303.0,0.19801980198019803,140.75
3,303.0,0.19801980198019803,140.75
4,303.0,0.19801980198019803,140.75
5,303.0,0.19801980198019803,140.75
6,303.0,0.19801980198019803,140.75
7,303.0,0.19801980198019803,140.75
8,303.0,0.19801980198019803,140.75
9,303.0,0.19801980198019803,140.75
10,303.0,0.19801980198019803,140.75
11,303.0,0.19801980198019803,140.75
12,303.0,0.19801980198019803,140.75
13,303.0,0.19801980198019803,140.75
14,303.0,0.19801980198019803,140.75
15,303.0,0.19801980198019803,140.75
16,303.0,0.19801980198019803,140.75
17,303.0,0.19801980198019803,140.75
18,303.0,0.19801980198019803,140.75
19,303.0,0.19801980198019803,140.75
20,303.0,0.19801980198019803,140.75
21,303.0,0.19801980198019803,140.75
22,303.0,0.19801980198019803,140.75
23,303.0,0.19801980198019803,140.75
24,303.0,0.19801980198019803,140.75
25,303.0,0.19801980198019803,140.75
26,303.0,0.19801980198019803,140.75
27,303.0,0.19801980198019803,140.75
28,303.0,0.19801980198019803,140.75
29,303.0,0.19801980198019803,140.75
30,303.0,0.19801980198019803,140.75
31,303.0,0.19801980198019803,140.75
32,303.0,0.19801980198019803,140.75
33,303.0,0.19801980198019803,140.75
34,303.0,0.19801980198019803,140.75
35,303.0,0.19801980198019803,140.75
36,303.0,0.19801980198019803,140.75
37,303.0,0.19801980198019803,140.75
38,303.0,0.19801980198019803,140.75
39,303.0,0.19801980198019803,140.75
40,303.0,0.19801980198019803,140.75
41,303.0,0.19801980198019803,140.75
42,303.0,0.19801980198019803,140.75
43,303.0,0.19801980198019803,140.75
44,303.0,0.19801980198019803,140.75
45,303.0,0.19801980198019803,140.75
46,303.0,0.19801980198019803,140.75
47,303.0,0.19801980198019803,140.75
48,303.0,0.19801980198019803,140.75
49,303.0,0.19801980198019803,140.75
