process,name,queue_mean_mean,queue_mean_ci_low,queue_mean_ci_high,sync_mean_mean,sync_mean_ci_low,sync_mean_ci_high,utilization_mean,utilization_ci_low,utilization_ci_high,delta_mean,delta_ci_low,delta_ci_high,gain_percent_mean,gain_percent_ci_low,gain_percent_ci_high
N06,Process 06,4.409615899554484,3.5062593941217832,5.3129724049871845,0.0,0.0,0.0,0.8125595579765355,0.8002379084040532,0.8248812075490177,3.69188235545314,2.5365389581028976,4.847225752803382,1.0882450575174454,0.7532345606823369,1.4232555543525538
N12,Process 12,0.8658349223257761,0.7394349554301202,0.992234889221432,0.0,0.0,0.0,0.5415722784008269,0.5307427424296729,0.5524018143719809,0.6772882565759301,0.4544866664505619,0.9000898467012982,0.20075158191654094,0.13655561602160077,0.2649475478114811
N02,Process 02,0.3877248725311506,0.3393284860450577,0.4361212590172435,0.0,0.0,0.0,0.5417403894659271,0.5321825694967054,0.5512982094351487,0.5701458316338074,0.450689993179834,0.6896016700877807,0.17053438931808843,0.13505946505812827,0.20600931357804858
N10,Process 10,0.757030174676563,0.6642246115577392,0.8498357377953868,0.0,0.0,0.0,0.5363012592644912,0.525896696945535,0.5467058215834475,0.5562151666257649,0.4056769824554133,0.7067533507961165,0.16602849158987604,0.12144326431263464,0.21061371886711744
N08,Process 08,0.7865692525723642,0.6495544244354767,0.9235840807092517,0.0,0.0,0.0,0.5420389161843464,0.532613028907169,0.5514648034615238,0.5480721006492547,0.41018520789483626,0.6859589934036732,0.164023739337766,0.12260593572068382,0.2054415429548482
N09,Process 09,0.7092653079074305,0.6290297642422967,0.7895008515725642,6.483973476389346,5.536717568103152,7.43122938467554,0.5378876709642543,0.5281922724753899,0.5475830694531186,0.5421640441562863,0.41621319873269347,0.6681148895798791,0.16256331130774865,0.12468550278521193,0.20044111983028537
N01,Process 01,0.15974649066533866,0.11918978305567837,0.20030319827499896,0.0,0.0,0.0,0.5336576886750839,0.523032619221623,0.5442827581285448,0.5000131099255952,0.4302847800635888,0.5697414397876016,0.14962356509826652,0.12889391127214753,0.1703532189243855
N11,Process 11,0.7713482385060414,0.661823648870123,0.8808728281419598,0.0,0.0,0.0,0.5380119707424874,0.5279270910638327,0.5480968504211421,0.43945438192193476,0.34435366406287754,0.534555099780992,0.13149255411779714,0.10326802853678227,0.15971707969881202
N07,Process 07,0.5404187911017078,0.4731235508841469,0.6077140313192686,0.0,0.0,0.0,0.5377440177116921,0.5266204258024109,0.5488676096209734,0.43466591420718487,0.3232976900792532,0.5460341383351166,0.1299999782999993,0.09651375027896936,0.16348620632102923
N03,Process 03,0.5532995569841224,0.4760901241431309,0.6305089898251138,0.0,0.0,0.0,0.5396668670095542,0.5293318381250008,0.5500018958941076,0.13353262166926355,0.009406019800772533,0.25765922353775456,0.04045435654345428,0.0027102158164399107,0.07819849727046865
N04,Process 04,0.6468166879076186,0.5638096385378569,0.7298237372773803,0.0,0.0,0.0,0.5466540980914477,0.5358059261503044,0.557502270032591,0.11221892863563313,-0.00015159234941278243,0.22458944962067903,0.03379895083846944,8.281976302302457e-05,0.06751508191391586
N05,Process 05,0.7143490094834917,0.6371960097261168,0.7915020092408666,0.0,0.0,0.0,0.5368671513318722,0.5245150095724472,0.5492192930912972,0.0801688622782433,0.016687051376221326,0.14365067318026525,0.02425112555127072,0.0050218922392943,0.04348035886324714
